"Id","Lon","Lat"
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-73.402314,3.531217
"Eurypyga helias",-71.407955,-11.888369
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-56.945711,-17.123689
"Eurypyga helias",-84.681935,10.503453
"Eurypyga helias",-64.946089,-14.724631
"Eurypyga helias",-61.0096,-13.5559
"Eurypyga helias",-63.598351,-18.105188
"Eurypyga helias",-57.858016,5.680916
"Eurypyga helias",-56.752667,-16.59803
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-68.965301,7.761341
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-59.393012,3.561609
"Eurypyga helias",-84.068769,10.440511
"Eurypyga helias",-57.858016,5.680916
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-71.222563,-11.997766
"Eurypyga helias",-59.393012,3.561609
"Eurypyga helias",-70.80802,-12.27625
"Eurypyga helias",-73.413445,-4.531025
"Eurypyga helias",-70.702906,-12.355031
"Eurypyga helias",-72.2027,5.3465
"Eurypyga helias",-75.814685,-5.43845
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-70.80802,-12.27625
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-84.0128,10.4288
"Eurypyga helias",-75.483936,1.465823
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-56.842704,-16.890795
"Eurypyga helias",-56.857471,-16.748095
"Eurypyga helias",-56.857471,-16.748095
"Eurypyga helias",-56.624308,-16.273099
"Eurypyga helias",-55.931108,-9.597261
"Eurypyga helias",-56.69135,-16.456923
"Eurypyga helias",-69.580536,-13.077472
"Eurypyga helias",-69.322891,7.429864
"Eurypyga helias",-71.2,-12.5749
"Eurypyga helias",-56.774826,-17.365132
"Eurypyga helias",-64.967887,-14.071375
"Eurypyga helias",-72.638393,2.49345
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-67.582226,8.571855
"Eurypyga helias",-67.582226,8.571855
"Eurypyga helias",-69.676755,-12.046987
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-70.833536,5.00504
"Eurypyga helias",-82.95936,8.785711
"Eurypyga helias",-84.006249,10.431078
"Eurypyga helias",-72.238026,2.760105
"Eurypyga helias",-72.664685,2.570453
"Eurypyga helias",-71.530683,5.997683
"Eurypyga helias",-71.56555,5.9989
"Eurypyga helias",-71.484833,5.932667
"Eurypyga helias",-72.634266,2.491609
"Eurypyga helias",-71.487133,5.903233
"Eurypyga helias",-69.676755,-12.046987
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-56.620833,-16.378611
"Eurypyga helias",-60.647876,-3.226615
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-70.7064,-12.35545
"Eurypyga helias",-70.80802,-12.27625
"Eurypyga helias",-70.7064,-12.35545
"Eurypyga helias",-70.676937,-12.430542
"Eurypyga helias",-76.20765,-0.646754
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-76.149341,-0.637584
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-70.742168,7.059273
"Eurypyga helias",-84.020171,10.452768
"Eurypyga helias",-84.0677,10.4502
"Eurypyga helias",-67.98578,3.842846
"Eurypyga helias",-68.082168,8.933617
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.26619,7.424534
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.255032,7.552352
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.263718,7.478525
"Eurypyga helias",-63.104061,10.498041
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-69.32579,7.427156
"Eurypyga helias",-61.82733,8.018793
"Eurypyga helias",-69.26413,7.45679
"Eurypyga helias",-69.26413,7.45679
"Eurypyga helias",-68.082168,8.933617
